title	ver1	ver2
石破茂上任後首度與尹錫悅會面 矢言深化日韓關係	日本新首相石破茂於2024年10月10日在寮國舉行的東南亞國家協會（ASEAN）峰會場邊，首次與南韓總統尹錫悅會面。面對來自中國和北韓的威脅，兩位領導人承諾深化日韓關係，並同意加強合作以向北韓傳達一致訊息。當前，兩韓關係緊張，南韓展示最大彈道飛彈「玄武5型」，而北韓領導人金正恩威脅使用核武。同日，石破茂與中國國務院總理李強會面，討論福島核電廠核處理水排海等議題。石破茂強調深化日韓合作的重要性，並呼籲建立亞洲版的北大西洋公約組織（NATO）。	日本新首相石破茂於2024年10月10日在寮國舉行的東南亞國家協會（ASEAN）峰會場邊，首次與南韓總統尹錫悅會面。面對來自中國和北韓的威脅，兩位領導人承諾深化日韓關係，並同意加強合作以向北韓傳達一致訊息。當前兩韓關係緊張，南韓展示最大彈道飛彈「玄武5型」，而北韓領導人金正恩威脅使用核武。同日，石破茂也與中國國務院總理李強會面，討論福島核電廠核處理水排海等議題。石破茂強調深化日韓合作的重要性，並呼籲建立亞洲版的北大西洋公約組織（NATO）。
集國家之力  布拉瑞揚舞進法舞蹈聖地夏佑劇院	布拉瑞揚舞團於2023年10月10日在法國國家夏佑劇院舉行聯合記者會，宣布首次歐洲巡演，這是台灣表演藝術的一大盛事。此次活動由兩廳院、駐法國台灣文化中心及法國國家夏佑劇院共同促成。布拉瑞揚（舞團創辦人）表示，這次巡演對年輕舞團意義重大，並以身為台灣原住民感到驕傲。夏佑劇院總監哈希德．烏蘭登（Rachid Ouramdane）讚譽布拉瑞揚的表演，並表示劇院將成為台灣藝術家的創作平台。活動「夏佑體驗：台灣焦點」將持續至10月12日，展現台灣藝術的多元與活力。	布拉瑞揚舞團於2023年10月10日在法國國家夏佑劇院舉行聯合記者會，宣布首次歐洲巡演，這次活動由兩廳院、駐法國台灣文化中心及法國國家夏佑劇院共同促成。舞團創辦人布拉瑞揚表示，這次巡演對年輕舞團意義重大，並以身為台灣原住民感到驕傲。夏佑劇院總監哈希德．烏蘭登（Rachid Ouramdane）讚譽布拉瑞揚的表演，並表示劇院將成為台灣藝術家的創作平台。活動「夏佑體驗：台灣焦點」於10月10日至12日舉行，展現台灣表演藝術的多元與活力。
密爾頓挾龍捲風掃佛州 至少10死、百萬人停電	颶風密爾頓（Milton）於2024年10月10日襲擊佛羅里達州，導致至少10人喪生，超過320萬戶家庭和企業停電。佛州州長迪尚特（Ron DeSantis）表示，儘管佛州避免了最壞的情況，但災損仍然嚴重，洪水問題仍需關注。美國國土安全部長馬約卡斯（Alejandro Mayorkas）指出，佛州遭受至少27個龍捲風襲擊。聖露西郡（St. Lucie County）發言人吉爾（Erick Gill）表示，龍捲風在該地區造成5人喪生，其中至少兩人是在西班牙湖（Spanish Lakes）社區。坦帕市南部海岸的障壁島遭遇大洪水，顯示出風暴的破壞力。	颶風密爾頓（Milton）於2024年10月10日侵襲佛羅里達州，導致至少10人喪生，超過320萬戶家庭和企業停電。佛州州長迪尚特（Ron DeSantis）表示，雖然佛州避免了最壞的情況，但災損仍然嚴重，尤其是洪水問題。美國國土安全部長馬約卡斯（Alejandro Mayorkas）指出，佛州遭受至少27個龍捲風襲擊。聖露西郡（St. Lucie County）發言人吉爾（Erick Gill）表示，龍捲風在該地區造成5人喪生，其中至少兩人是在西班牙湖（Spanish Lakes）社區。坦帕灣地區雖避開了預警中的暴潮，但坦帕市南部海岸的障壁島遭遇大洪水。
朝野黨團中午餐敘化解僵局  卓榮泰：盼輕鬆有願景	行政院長卓榮泰與立法院長韓國瑜於2024年10月11日中午舉行朝野黨團餐敘，旨在化解中央政府總預算案的僵局。卓榮泰表示，餐敘將嚴肅面對未來需要解決的事項，並希望在輕鬆氛圍中展望未來。總統賴清德在國慶大典上呼籲朝野合作，卓榮泰感謝其支持。韓國瑜與卓榮泰及三個政黨的黨團代表已安排好時間，將在餐敘中討論國會及國家人民關切的議題，尋求解決方案。卓榮泰期望這次餐敘能成為未來國會會期的合作模式。	行政院長卓榮泰與立法院長韓國瑜於2024年10月11日中午舉行朝野黨團餐敘，旨在化解中央政府總預算案的僵局。卓榮泰表示，餐敘將嚴肅面對未來需要解決的事項，並希望在輕鬆氛圍中展望未來。他感謝總統賴清德在國慶大典上的呼籲，期望促進朝野合作。卓榮泰與韓國瑜及三個政黨的黨團代表已安排好時間，將在餐敘中討論國會及國家人民關切的議題，尋求解決方案。
傳英國擬派軍烏克蘭協訓  國防部：持續研商最佳方案	英國國防部正考慮派遣軍隊赴烏克蘭，提供就地訓練，以支持烏克蘭抵禦俄羅斯侵略。國防大臣希利（John Healey）確認，2025年將繼續在英國執行烏軍協訓計畫Operation Interflex。自2015年起，英國已在烏克蘭境內執行Operation Orbital協訓計畫，但因2022年俄羅斯全面侵略而中斷。烏克蘭總統澤倫斯基（Volodymyr Zelenskyy）於2024年10月10日訪問英國，與首相施凱爾（Keir Starmer）及北約秘書長呂特（Mark Rutte）會談，討論相關事宜。英國軍方考慮在烏克蘭西部派遣少量軍事教官，提供密集訓練，這將比在英國訓練更有效率。	英國國防部正在考慮派遣軍隊赴烏克蘭，提供就地訓練，以支持烏克蘭抵禦俄羅斯的侵略。國防大臣希利（John Healey）確認，2025年將繼續在英國執行烏軍協訓計畫Operation Interflex。自2015年起，英國已在烏克蘭境內執行Operation Orbital協訓計畫，但因2022年俄羅斯全面侵略而中斷，隨後在英國境內啟動Operation Interflex。烏克蘭總統澤倫斯基（Volodymyr Zelenskyy）於2024年10月10日訪問英國，與首相施凱爾（Keir Starmer）及北約秘書長呂特（Mark Rutte）會談，討論相關事宜。英國軍方考慮在烏克蘭西部派遣少量軍事教官，提供密集訓練，這將比在英國訓練更有效率。
孕育諾貝爾化學物理學醫學獎3得主 柏克萊刊文表彰	2024年諾貝爾獎揭曉，化學、物理及醫學獎得主皆與加州大學柏克萊分校有深厚淵源。化學獎由生化學家貝克（David Baker）因「計算蛋白質設計」獲得，並與DeepMind科學家哈薩比斯（Demis Hassabis）和瓊珀（John M. Jumper）共享殊榮。醫學獎得主魯夫昆（Gary Ruvkun）因發現微型核糖核酸的基因調控角色獲獎。物理學獎得主霍普菲爾德（John Hopfield）與辛頓（Geoffrey Hinton）共同獲獎。柏克萊教授謝克曼（Randy Schekman）表彰貝克的成就，並勉勵後代學術研究者。	2024年10月9日，諾貝爾化學獎揭曉，由生化學家貝克（David Baker）與DeepMind科學家哈薩比斯（Demis Hassabis）和瓊珀（John M. Jumper）共同獲得。貝克因「計算蛋白質設計」獲獎，並獲得一半獎金，另一半獎金由哈薩比斯和瓊珀因「蛋白質結構預測」共享。諾貝爾醫學獎由魯夫昆（Gary Ruvkun）和安布羅斯（Victor Ambros）因發現微型核糖核酸的基因調控角色共同獲得。物理學獎得主霍普菲爾德（John Hopfield）與辛頓（Geoffrey Hinton）共享殊榮。柏克萊大學表彰這些學者的成就，並勉勵後代學術研究者。
高鐵雲林站湧進觀賞國慶焰火人潮  加開班次疏運	雲林縣首次承辦國慶焰火活動，於2024年10月10日吸引超過30萬人觀賞，導致高鐵雲林站及周邊交通壓力劇增。雲林縣政府在晚間7時47分統計到場人數後，實施交通調撥措施，將會場周邊道路設為「只出不進」。高鐵公司原計劃提供5班加班車，但因人潮過多，臨時加開2班北上自由座列車，並於晚間8時45分啟動人潮管制措施。最終，高鐵雲林站在深夜11時39分完成疏運，恢復正常運作。此次活動顯示出雲林縣府及高鐵公司的有效協調與應變能力。	雲林縣於2024年10月10日首次承辦國慶焰火活動，吸引超過30萬人前往觀賞，造成高鐵雲林站及周邊交通壓力劇增。雲林縣政府在晚間7時47分統計到場人數後，於焰火結束後實施交通調撥措施，將會場周邊道路設為「只出不進」。高鐵公司原計劃提供5班加班車，但因人潮過多，臨時加開2班北上自由座列車，並於晚間8時45分啟動人潮管制措施，確保旅客安全。最終，高鐵雲林站在深夜11時39分完成疏運，恢復正常運作。此次活動的成功舉辦，顯示出雲林縣府及高鐵公司的有效協調與應變能力。
九九重陽節 韓國瑜：以孝行善傳承溫厚美德	立法院長韓國瑜於2024年10月11日九九重陽節在臉書發文，強調尊老、愛老的重要性，呼籲將此精神融入日常生活。他指出，重陽節不僅是傳統的登高望遠、避邪祈福日，更是崇孝敬老的文化節日。韓國瑜表示，長輩以智慧和經驗支撐家庭與社會，值得感念與謝意，並呼籲大家多花時間陪伴長輩，表達感謝。最後，他祝福天下長者平安吉祥，並願重陽節為社會帶來祥和與美好。	立法院長韓國瑜於2024年10月11日九九重陽節當天在臉書發文，強調尊老、愛老的重要性，呼籲將這種精神融入日常生活。他指出，九九重陽節不僅是登高望遠、避邪祈福的日子，更是崇孝敬老的文化節日。韓國瑜表示，長輩以其智慧和經驗支撐家庭與社會，值得我們的感念與謝意。他希望藉此節日，大家能多花時間陪伴長輩，表達感謝，讓他們感受到溫暖與尊重。韓國瑜在文章結尾祝福天下長者平安吉祥，並祝願大家重陽安康。
高雄婦疑闖紅燈過馬路被撞死 肇事駕駛棄車逃逸	高雄市於2024年10月11日清晨發生一起致命交通事故，一名92歲的吳姓老婦在三民區中華三路與三民街口過馬路時，遭一輛北向南行駛的自小客車撞擊，當場死亡。肇事駕駛在事故後棄車逃逸，警方已掌握其身分，正全力追緝中。初步分析顯示，事故原因可能是行人未依號誌指示過馬路及駕駛未注意車前狀況，詳細責任仍待進一步鑑定分析。高雄市政府警察局三民第一分局已派遣相關單位到場處理，並展開追緝行動。	高雄市於2024年10月11日清晨發生一起致命交通事故，92歲的吳姓老婦在三民區中華三路與三民街口過馬路時，因闖紅燈被一輛北向南行駛的自小客車撞擊，當場死亡。肇事駕駛在事故後棄車逃逸，警方已掌握其身分，正全力追緝中。高雄市政府警察局三民第一分局接獲報案後，立即派遣三民派出所及交通分隊到場處理。初步分析顯示，事故原因可能是行人未依號誌指示過馬路及駕駛未注意車前狀況，詳細責任仍待進一步鑑定分析。
京華城案 北檢提訊朱亞虎、彭振聲	台北地檢署正在偵辦京華城案，針對前鼎越開發董事長朱亞虎及前台北市副市長彭振聲的決策過程及金流進行調查。2024年10月11日，檢察官提訊朱亞虎和彭振聲，兩人均未對媒體提問作出回應。此案涉及京華城容積率在柯文哲市府任內暴增至840%，檢廉懷疑其中涉及圖利及賄賂。自8月底以來，檢方已多次搜索及約談，並將包括柯文哲、彭振聲、沈慶京等7名被告聲請羈押禁見獲准。台北地方法院於10月10日凌晨再次裁定朱亞虎羈押禁見，指出其涉嫌貪污治罪條例中對公務員違背職務行賄罪，嫌疑重大。	台北地檢署正在偵辦京華城案，針對前鼎越開發董事長朱亞虎及前台北市副市長彭振聲的決策過程及金流進行調查。2024年10月11日，檢察官提訊在押的朱亞虎和彭振聲，兩人均未對媒體提問作出回應。此案涉及京華城容積率在柯文哲市府任內暴增至840%，檢廉懷疑其中涉及圖利及賄賂。自8月底以來，檢方已多次搜索及約談，並將包括柯文哲、彭振聲、沈慶京、應曉薇等7名被告聲請羈押禁見獲准。朱亞虎曾提起抗告，台灣高等法院撤銷羈押裁定，發回更裁，但台北地方法院於10月10日凌晨再次裁定羈押禁見。法院指出，朱亞虎涉嫌貪污治罪條例中對公務員違背職務行賄罪，嫌疑重大，且有滅證、勾串共犯或證人之虞。
駐土耳其代表處國慶晚會 展出震災兒童繪畫感動人心	駐土耳其代表處於2023年10月8日在安卡拉舉辦113年國慶晚會，吸引約300名嘉賓參加，並展出震災兒童繪畫比賽的得獎作品，感動眾多賓客。代表黃志揚強調台灣的和平立場，並指出中國對台灣的威脅及其對聯合國第2758號決議的扭曲。台灣在土耳其大地震後捐贈4300萬美元協助賑災，推動多項賑災計畫。晚會上，台灣的傳統文化和美食如珍珠奶茶和麻糬成為亮點，進一步鞏固台土友好關係。	2023年10月8日，駐土耳其代表處在安卡拉舉辦113年國慶晚會，吸引約300名嘉賓參加，並展出由超過1000名災區孩童參與的震災兒童繪畫比賽得獎作品，感動眾多賓客。駐土耳其代表黃志揚在致詞中強調台灣的和平立場，並指出中國對台灣的威脅及其對聯合國第2758號決議的扭曲。台灣在2023年2月土耳其大地震後捐贈4300萬美元協助賑災，推動多項賑災計畫。晚會上，台灣的傳統文化和美食如珍珠奶茶和麻糬也成為亮點，進一步鞏固台土友好關係。
東北季風影響早晚稍涼 午後中南部局部雷陣雨	中央氣象署表示，2024年10月11日台灣各地及澎湖、金門、馬祖大多為多雲到晴，基隆北海岸、大台北山區及東半部地區偶有零星短暫雨。午後南部地區及中部山區有局部短暫雷陣雨，南部山區可能出現局部大雨。預計今晚起水氣稍增加，大台北地區降雨機率略增。受東北季風影響，各地夜晚及清晨低溫在攝氏22至24度，白天北部及東半部高溫約26至28度，中南部可達31至32度。颱風百里嘉將向北移動，短期內變性為溫帶氣旋，對台灣天氣無影響。桃園至雲林沿海空曠地區及恆春半島等地易有較強陣風，海邊活動需注意安全。	中央氣象署表示，2024年10月11日，台灣各地及澎湖、金門、馬祖大多為多雲到晴，基隆北海岸、大台北山區及東半部地區偶有零星短暫雨。午後南部地區及中部山區有局部短暫雷陣雨，南部山區有局部大雨的可能。預計今晚起水氣稍增加，大台北地區降雨機率略增。受東北季風影響，各地夜晚及清晨低溫在攝氏22至24度，白天北部及東半部高溫約26至28度，中南部可達31至32度。桃園至雲林沿海空曠地區及恆春半島、澎湖、蘭嶼、綠島、金門易有較強陣風，恆春半島將有8至9級強陣風，海邊活動需注意安全。颱風百里嘉未來將向北移動，短期內變性為溫帶氣旋，對台灣天氣無影響。
洛杉磯郡表揚台灣堅韌精神 宣布中華民國台灣國慶日	加州洛杉磯郡於2023年10月8日宣布，將2024年10月10日定為「中華民國（台灣）國慶日」，以表彰台灣人民追求自由民主的堅韌精神，並肯定郡內16萬多名台灣裔居民的貢獻。此決議由5位郡監督在例行會議上一致通過，提案人為郡監督索里士（Hilda Solis），她強調台灣裔社區對當地的貢獻，並指出台美在民主、人權及經濟發展上的穩固夥伴關係。洛杉磯郡政府在新聞稿中強調台灣在科技、創新與文化傳統等領域的成就，深化了雙方的關係。	加州洛杉磯郡於2023年10月8日宣布，將2024年10月10日定為「中華民國（台灣）國慶日」，以表彰台灣人民追求自由民主的堅韌精神，並肯定郡內16萬多名台灣裔居民的貢獻。此決議由5位郡監督在例行會議上一致通過，提案人為郡監督索里士（Hilda Solis），她強調台灣裔社區對當地的貢獻，並指出台美在民主、人權及經濟發展上的穩固夥伴關係。洛杉磯郡政府在新聞稿中強調，中華民國是亞洲第一個民主國家，並指出台灣在科技、創新與文化傳統等領域的成就，深化了洛杉磯郡與台灣之間的關係。台灣會館前董事長陳柏宇在會議上發言，並與在場郡政府首長分享台灣點心，象徵台灣文化的影響力。
「這不是個大使館」首登巴黎  台灣議題引發共鳴	「這不是個大使館」是由兩廳院製作的藝術作品，將於2023年11月14日至17日在巴黎MC93文化中心演出，成為巴黎秋天藝術節首個參與共製的台灣作品。該作品由里米尼紀錄劇團的史蒂芬·凱吉（Stefan Kaegi）編導，透過虛構的大使館開幕夜，探討台灣的當代國家議題。巴黎秋天藝術節藝術總監法蘭西斯卡·可和娜（Francesca Corona）表示，這部作品以藝術方式呈現台灣議題，並強調劇場是促進社會對話的工具。作品將在法國南特及法國比利時跨境NEXT國際藝術節巡演。	「這不是個大使館」是由兩廳院製作的藝術作品，將於2023年11月14日至17日在巴黎MC93文化中心演出，成為巴黎秋天藝術節首個參與共製的台灣作品。該作品由里米尼紀錄劇團的史蒂芬·凱吉（Stefan Kaegi）編導，透過虛構的大使館開幕夜，探討台灣的當代國家議題。巴黎秋天藝術節藝術總監法蘭西斯卡·可和娜（Francesca Corona）表示，這部作品以藝術方式呈現台灣議題，並邀請橫跨三個世代的台灣代表參與創作。法蘭西斯卡在2023年參加「Taiwan Week-兩廳院台灣週」後，對該計畫表示大力支持。該作品還計劃在法國南特及法國比利時跨境NEXT國際藝術節巡演。法蘭西斯卡強調，劇場是促進社會對話的工具，能夠呈現問題的複雜性，並促進觀眾的反思。
